timestamp,y
2020-08-15,1222.0
2020-08-22,1286.0
2020-08-29,1043.0
2020-09-05,898.0
2020-09-12,752.0
2020-09-19,682.0
2020-09-26,660.0
2020-10-03,624.0
2020-10-10,634.0
2020-10-17,493.0
2020-10-24,482.0
2020-10-31,573.0
2020-11-07,806.0
2020-11-14,786.0
2020-11-21,954.0
2020-11-28,874.0
2020-12-05,1235.0
2020-12-12,1157.0
2020-12-19,1350.0
2020-12-26,1137.0
2021-01-02,1430.0
2021-01-09,1870.0
2021-01-16,2091.0
2021-01-23,2269.0
2021-01-30,2184.0
2021-02-06,2266.0
2021-02-13,1943.0
2021-02-20,896.0
2021-02-27,1548.0
2021-03-06,1631.0
2021-03-13,1115.0
2021-03-20,926.0
2021-03-27,728.0
2021-04-03,634.0
2021-04-10,502.0
2021-04-17,369.0
2021-04-24,358.0
2021-05-01,347.0
2021-05-08,324.0
2021-05-15,309.0
2021-05-22,267.0
2021-05-29,275.0
2021-06-05,216.0
2021-06-12,206.0
2021-06-19,182.0
2021-06-26,168.0
2021-07-03,212.0
2021-07-10,151.0
2021-07-17,183.0
2021-07-24,190.0
2021-07-31,271.0
2021-08-07,422.0
2021-08-14,640.0
2021-08-21,937.0
2021-08-28,1356.0
2021-09-04,1737.0
2021-09-11,1773.0
2021-09-18,1783.0
2021-09-25,2053.0
2021-10-02,1853.0
2021-10-09,1198.0
2021-10-16,1940.0
2021-10-23,1262.0
2021-10-30,921.0
2021-11-06,790.0
2021-11-13,834.0
2021-11-20,577.0
2021-11-27,246.0
2021-12-04,611.0
2021-12-11,400.0
2021-12-18,466.0
2021-12-25,261.0
2022-01-01,406.0
2022-01-08,763.0
2022-01-15,623.0
2022-01-22,971.0
2022-01-29,1216.0
2022-02-05,1401.0
2022-02-12,1384.0
2022-02-19,1568.0
2022-02-26,1106.0
2022-03-05,921.0
2022-03-12,664.0
2022-03-19,483.0
2022-03-26,349.0
2022-04-02,214.0
2022-04-09,240.0
2022-04-16,96.0
2022-04-23,187.0
2022-04-30,85.0
2022-05-07,72.0
2022-05-14,72.0
2022-05-21,57.0
2022-05-28,43.0
2022-06-04,44.0
2022-06-11,77.0
2022-06-18,69.0
2022-06-25,76.0
2022-07-02,117.0
2022-07-09,115.0
2022-07-16,99.0
2022-07-23,153.0
2022-07-30,157.0
2022-08-06,200.0
2022-08-13,209.0
2022-08-20,224.0
2022-08-27,188.0
2022-09-03,184.0
2022-09-10,134.0
2022-09-17,138.0
2022-09-24,151.0
2022-10-01,119.0
2022-10-08,101.0
2022-10-15,56.0
2022-10-22,90.0
2022-10-29,81.0
2022-11-05,64.0
2022-11-12,33.0
2022-11-19,83.0
2022-11-26,39.0
2022-12-03,47.0
2022-12-10,88.0
2022-12-17,83.0
2022-12-24,115.0
2022-12-31,105.0
2023-01-07,130.0
2023-01-14,149.0
2023-01-21,248.0
2023-01-28,194.0
2023-02-04,401.0
2023-02-11,192.0
2023-02-18,133.0
2023-02-25,120.0
2023-03-04,116.0
2023-03-11,107.0
