timestamp,y
2020-08-15,483.0
2020-08-22,423.0
2020-08-29,484.0
2020-09-05,401.0
2020-09-12,310.0
2020-09-19,312.0
2020-09-26,315.0
2020-10-03,219.0
2020-10-10,260.0
2020-10-17,214.0
2020-10-24,201.0
2020-10-31,171.0
2020-11-07,668.0
2020-11-14,309.0
2020-11-21,223.0
2020-11-28,245.0
2020-12-05,369.0
2020-12-12,282.0
2020-12-19,306.0
2020-12-26,304.0
2021-01-02,275.0
2021-01-09,497.0
2021-01-16,834.0
2021-01-23,955.0
2021-01-30,950.0
2021-02-06,894.0
2021-02-13,760.0
2021-02-20,892.0
2021-02-27,552.0
2021-03-06,611.0
2021-03-13,311.0
2021-03-20,314.0
2021-03-27,396.0
2021-04-03,284.0
2021-04-10,278.0
2021-04-17,269.0
2021-04-24,216.0
2021-05-01,239.0
2021-05-08,156.0
2021-05-15,137.0
2021-05-22,156.0
2021-05-29,176.0
2021-06-05,149.0
2021-06-12,172.0
2021-06-19,161.0
2021-06-26,74.0
2021-07-03,50.0
2021-07-10,43.0
2021-07-17,72.0
2021-07-24,56.0
2021-07-31,62.0
2021-08-07,126.0
2021-08-14,176.0
2021-08-21,221.0
2021-08-28,354.0
2021-09-04,567.0
2021-09-11,621.0
2021-09-18,836.0
2021-09-25,901.0
2021-10-02,764.0
2021-10-09,900.0
2021-10-16,632.0
2021-10-23,745.0
2021-10-30,546.0
2021-11-06,418.0
2021-11-13,378.0
2021-11-20,301.0
2021-11-27,196.0
2021-12-04,297.0
2021-12-11,168.0
2021-12-18,171.0
2021-12-25,215.0
2022-01-01,234.0
2022-01-08,78.0
2022-01-15,407.0
2022-01-22,366.0
2022-01-29,574.0
2022-02-05,534.0
2022-02-12,674.0
2022-02-19,681.0
2022-02-26,559.0
2022-03-05,466.0
2022-03-12,411.0
2022-03-19,314.0
2022-03-26,264.0
2022-04-02,286.0
2022-04-09,275.0
2022-04-16,191.0
2022-04-23,136.0
2022-04-30,147.0
2022-05-07,163.0
2022-05-14,117.0
2022-05-21,71.0
2022-05-28,41.0
2022-06-04,44.0
2022-06-11,48.0
2022-06-18,70.0
2022-06-25,87.0
2022-07-02,132.0
2022-07-09,106.0
2022-07-16,136.0
2022-07-23,112.0
2022-07-30,117.0
2022-08-06,123.0
2022-08-13,146.0
2022-08-20,153.0
2022-08-27,160.0
2022-09-03,140.0
2022-09-10,103.0
2022-09-17,150.0
2022-09-24,146.0
2022-10-01,110.0
2022-10-08,93.0
2022-10-15,74.0
2022-10-22,104.0
2022-10-29,74.0
2022-11-05,70.0
2022-11-12,107.0
2022-11-19,112.0
2022-11-26,109.0
2022-12-03,46.0
2022-12-10,102.0
2022-12-17,72.0
2022-12-24,117.0
2022-12-31,56.0
2023-01-07,103.0
2023-01-14,128.0
2023-01-21,124.0
2023-01-28,143.0
2023-02-04,139.0
2023-02-11,107.0
2023-02-18,84.0
2023-02-25,87.0
2023-03-04,95.0
2023-03-11,62.0
