timestamp,y
2020-08-15,1236.0
2020-08-22,929.0
2020-08-29,831.0
2020-09-05,706.0
2020-09-12,789.0
2020-09-19,687.0
2020-09-26,735.0
2020-10-03,606.0
2020-10-10,558.0
2020-10-17,731.0
2020-10-24,500.0
2020-10-31,344.0
2020-11-07,339.0
2020-11-14,389.0
2020-11-21,441.0
2020-11-28,512.0
2020-12-05,642.0
2020-12-12,701.0
2020-12-19,688.0
2020-12-26,662.0
2021-01-02,755.0
2021-01-09,914.0
2021-01-16,1200.0
2021-01-23,1160.0
2021-01-30,1196.0
2021-02-06,1239.0
2021-02-13,1084.0
2021-02-20,1130.0
2021-02-27,921.0
2021-03-06,886.0
2021-03-13,605.0
2021-03-20,488.0
2021-03-27,429.0
2021-04-03,510.0
2021-04-10,362.0
2021-04-17,390.0
2021-04-24,408.0
2021-05-01,427.0
2021-05-08,461.0
2021-05-15,356.0
2021-05-22,407.0
2021-05-29,311.0
2021-06-05,211.0
2021-06-12,280.0
2021-06-19,290.0
2021-06-26,217.0
2021-07-03,213.0
2021-07-10,172.0
2021-07-17,231.0
2021-07-24,282.0
2021-07-31,409.0
2021-08-07,616.0
2021-08-14,1071.0
2021-08-21,1486.0
2021-08-28,1727.0
2021-09-04,2345.0
2021-09-11,2448.0
2021-09-18,2468.0
2021-09-25,2340.0
2021-10-02,1719.0
2021-10-09,1368.0
2021-10-16,1192.0
2021-10-23,944.0
2021-10-30,867.0
2021-11-06,664.0
2021-11-13,364.0
2021-11-20,383.0
2021-11-27,66.0
2021-12-04,554.0
2021-12-11,325.0
2021-12-18,194.0
2021-12-25,127.0
2022-01-01,157.0
2022-01-08,184.0
2022-01-15,470.0
2022-01-22,605.0
2022-01-29,1192.0
2022-02-05,1324.0
2022-02-12,1293.0
2022-02-19,1330.0
2022-02-26,888.0
2022-03-05,1207.0
2022-03-12,863.0
2022-03-19,844.0
2022-03-26,323.0
2022-04-02,263.0
2022-04-09,265.0
2022-04-16,134.0
2022-04-23,141.0
2022-04-30,118.0
2022-05-07,137.0
2022-05-14,93.0
2022-05-21,153.0
2022-05-28,135.0
2022-06-04,201.0
2022-06-11,219.0
2022-06-18,210.0
2022-06-25,481.0
2022-07-02,314.0
2022-07-09,302.0
2022-07-16,469.0
2022-07-23,436.0
2022-07-30,467.0
2022-08-06,482.0
2022-08-13,512.0
2022-08-20,458.0
2022-08-27,556.0
2022-09-03,454.0
2022-09-10,381.0
2022-09-17,374.0
2022-09-24,357.0
2022-10-01,277.0
2022-10-08,245.0
2022-10-15,249.0
2022-10-22,266.0
2022-10-29,0.0
2022-11-05,365.0
2022-11-12,0.0
2022-11-19,334.0
2022-11-26,0.0
2022-12-03,326.0
2022-12-10,0.0
2022-12-17,405.0
2022-12-24,0.0
2022-12-31,300.0
2023-01-07,270.0
2023-01-14,0.0
2023-01-21,751.0
2023-01-28,0.0
2023-02-04,783.0
2023-02-11,0.0
2023-02-18,584.0
2023-02-25,0.0
2023-03-04,390.0
2023-03-11,0.0
