timestamp,y
2020-08-15,916.0
2020-08-22,867.0
2020-08-29,808.0
2020-09-05,812.0
2020-09-12,640.0
2020-09-19,655.0
2020-09-26,557.0
2020-10-03,585.0
2020-10-10,452.0
2020-10-17,413.0
2020-10-24,368.0
2020-10-31,355.0
2020-11-07,345.0
2020-11-14,294.0
2020-11-21,467.0
2020-11-28,443.0
2020-12-05,759.0
2020-12-12,1062.0
2020-12-19,1628.0
2020-12-26,1572.0
2021-01-02,2373.0
2021-01-09,3059.0
2021-01-16,3353.0
2021-01-23,3415.0
2021-01-30,3673.0
2021-02-06,3509.0
2021-02-13,2998.0
2021-02-20,2384.0
2021-02-27,2957.0
2021-03-06,2060.0
2021-03-13,1409.0
2021-03-20,920.0
2021-03-27,1671.0
2021-04-03,810.0
2021-04-10,688.0
2021-04-17,549.0
2021-04-24,441.0
2021-05-01,517.0
2021-05-08,375.0
2021-05-15,220.0
2021-05-22,241.0
2021-05-29,293.0
2021-06-05,442.0
2021-06-12,30.0
2021-06-19,132.0
2021-06-26,297.0
2021-07-03,165.0
2021-07-10,233.0
2021-07-17,220.0
2021-07-24,151.0
2021-07-31,192.0
2021-08-07,369.0
2021-08-14,-123.0
2021-08-21,494.0
2021-08-28,604.0
2021-09-04,733.0
2021-09-11,786.0
2021-09-18,904.0
2021-09-25,592.0
2021-10-02,683.0
2021-10-09,746.0
2021-10-16,594.0
2021-10-23,934.0
2021-10-30,603.0
2021-11-06,559.0
2021-11-13,594.0
2021-11-20,596.0
2021-11-27,446.0
2021-12-04,633.0
2021-12-11,454.0
2021-12-18,453.0
2021-12-25,421.0
2022-01-01,385.0
2022-01-08,511.0
2022-01-15,679.0
2022-01-22,836.0
2022-01-29,1227.0
2022-02-05,1257.0
2022-02-12,1501.0
2022-02-19,1445.0
2022-02-26,1088.0
2022-03-05,1202.0
2022-03-12,980.0
2022-03-19,762.0
2022-03-26,581.0
2022-04-02,342.0
2022-04-09,338.0
2022-04-16,304.0
2022-04-23,337.0
2022-04-30,314.0
2022-05-07,269.0
2022-05-14,277.0
2022-05-21,260.0
2022-05-28,256.0
2022-06-04,204.0
2022-06-11,197.0
2022-06-18,225.0
2022-06-25,191.0
2022-07-02,277.0
2022-07-09,242.0
2022-07-16,275.0
2022-07-23,305.0
2022-07-30,284.0
2022-08-06,320.0
2022-08-13,302.0
2022-08-20,322.0
2022-08-27,367.0
2022-09-03,162.0
2022-09-10,338.0
2022-09-17,231.0
2022-09-24,246.0
2022-10-01,166.0
2022-10-08,255.0
2022-10-15,220.0
2022-10-22,255.0
2022-10-29,202.0
2022-11-05,113.0
2022-11-12,103.0
2022-11-19,184.0
2022-11-26,148.0
2022-12-03,180.0
2022-12-10,217.0
2022-12-17,216.0
2022-12-24,336.0
2022-12-31,252.0
2023-01-07,285.0
2023-01-14,397.0
2023-01-21,369.0
2023-01-28,342.0
2023-02-04,291.0
2023-02-11,-18.0
2023-02-18,281.0
2023-02-25,235.0
2023-03-04,21.0
2023-03-11,205.0
